Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
2016/12/01,00:00:14,2016/12/01,00:01:07,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:00:35,2016/12/01,00:01:07,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:00:56,2016/12/01,00:01:07,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:01:09,2016/12/01,00:02:59,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:01:28,2016/12/01,00:02:59,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:01:49,2016/12/01,00:02:59,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:02:09,2016/12/01,00:02:59,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:02:29,2016/12/01,00:02:59,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:02:49,2016/12/01,00:02:59,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:03:01,2016/12/01,00:04:45,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:03:19,2016/12/01,00:04:45,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:03:38,2016/12/01,00:04:45,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:03:58,2016/12/01,00:04:45,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:04:17,2016/12/01,00:04:45,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:04:35,2016/12/01,00:04:45,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:04:47,2016/12/01,00:06:26,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:05:04,2016/12/01,00:06:26,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:05:23,2016/12/01,00:06:26,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:05:41,2016/12/01,00:06:26,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:05:59,2016/12/01,00:06:26,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:06:17,2016/12/01,00:06:26,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:06:28,2016/12/01,00:08:03,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:06:44,2016/12/01,00:08:03,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:07:02,2016/12/01,00:08:03,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:07:19,2016/12/01,00:08:03,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:07:37,2016/12/01,00:08:03,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:07:54,2016/12/01,00:08:03,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:08:05,2016/12/01,00:09:36,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:08:21,2016/12/01,00:09:36,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:08:37,2016/12/01,00:09:36,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:08:54,2016/12/01,00:09:36,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:09:11,2016/12/01,00:09:36,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:09:27,2016/12/01,00:09:36,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:09:38,2016/12/01,00:11:05,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:09:53,2016/12/01,00:11:05,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:10:09,2016/12/01,00:11:05,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:10:25,2016/12/01,00:11:05,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:10:41,2016/12/01,00:11:05,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:10:57,2016/12/01,00:11:05,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:11:07,2016/12/01,00:12:31,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:11:21,2016/12/01,00:12:31,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:11:37,2016/12/01,00:12:31,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:11:53,2016/12/01,00:12:31,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:12:08,2016/12/01,00:12:31,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:12:23,2016/12/01,00:12:31,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:12:33,2016/12/01,00:13:55,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:12:47,2016/12/01,00:13:55,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:13:02,2016/12/01,00:13:55,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:13:17,2016/12/01,00:13:55,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:13:32,2016/12/01,00:13:55,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:13:47,2016/12/01,00:13:55,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:13:57,2016/12/01,00:15:16,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:14:10,2016/12/01,00:15:16,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:14:25,2016/12/01,00:15:16,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:14:40,2016/12/01,00:15:16,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:14:54,2016/12/01,00:15:16,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:15:09,2016/12/01,00:15:16,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:15:18,2016/12/01,00:16:35,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:15:31,2016/12/01,00:16:35,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:15:45,2016/12/01,00:16:35,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:15:59,2016/12/01,00:16:35,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:16:13,2016/12/01,00:16:35,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:16:28,2016/12/01,00:16:35,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:16:37,2016/12/01,00:17:52,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:16:49,2016/12/01,00:17:52,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:17:03,2016/12/01,00:17:52,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:17:17,2016/12/01,00:17:52,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:17:31,2016/12/01,00:17:52,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:17:45,2016/12/01,00:17:52,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:17:54,2016/12/01,00:19:07,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:18:06,2016/12/01,00:19:07,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:18:20,2016/12/01,00:19:07,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:18:33,2016/12/01,00:19:07,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:18:46,2016/12/01,00:19:07,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:19:00,2016/12/01,00:19:07,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:19:09,2016/12/01,00:20:20,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:19:21,2016/12/01,00:20:20,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:19:34,2016/12/01,00:20:20,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:19:47,2016/12/01,00:20:20,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:20:00,2016/12/01,00:20:20,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:20:13,2016/12/01,00:20:20,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:20:22,2016/12/01,00:21:31,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:20:33,2016/12/01,00:21:31,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:20:46,2016/12/01,00:21:31,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:20:59,2016/12/01,00:21:31,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:21:12,2016/12/01,00:21:31,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:21:25,2016/12/01,00:21:31,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:21:33,2016/12/01,00:22:41,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:21:44,2016/12/01,00:22:41,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:21:57,2016/12/01,00:22:41,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:22:09,2016/12/01,00:22:41,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
2016/12/01,00:22:22,2016/12/01,00:22:41,AlarmRateRamp|10356,Q5,I&C ALARM,N/A,Limit Signal 5
2016/12/01,00:22:34,2016/12/01,00:22:41,AlarmRateRamp|10356,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
2016/12/01,00:22:43,2016/12/01,00:23:49,AlarmRateRamp|10356,Q1,ALARM,N/A,Limit Signal 1
2016/12/01,00:22:54,2016/12/01,00:23:49,AlarmRateRamp|10356,Q2,WARNING,N/A,Limit Signal 2
2016/12/01,00:23:06,2016/12/01,00:23:49,AlarmRateRamp|10356,Q3,WARNING,N/A,Limit Signal 3
2016/12/01,00:23:18,2016/12/01,00:23:49,AlarmRateRamp|10356,Q4,TOLERANCE,N/A,Limit Signal 4
