Begin.Date,Begin.Time,End.Date,End.Time,Alarm.Tag,Alarm.Id,X,Alarm.Type,Alarm.Priority,Description
3/12/2016,10:00:12,3/12/2016,10:00:43,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:00:33,3/12/2016,10:00:43,AlarmRateRamp|10458,Q6,AlarmRateRamp|10458Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:00:45,3/12/2016,10:02:32,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:01:04,3/12/2016,10:02:32,AlarmRateRamp|10459,Q1,AlarmRateRamp|10459Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:01:24,3/12/2016,10:02:32,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:01:44,3/12/2016,10:02:32,AlarmRateRamp|10460,Q2,AlarmRateRamp|10460Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:02:03,3/12/2016,10:02:32,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:02:23,3/12/2016,10:02:32,AlarmRateRamp|10461,Q3,AlarmRateRamp|10461Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:02:34,3/12/2016,10:04:16,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,ALARM,N/A,Limit Signal 1
3/12/2016,10:02:52,3/12/2016,10:04:16,AlarmRateRamp|10462,Q4,AlarmRateRamp|10462Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:03:11,3/12/2016,10:04:16,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,WARNING,N/A,Limit Signal 3
3/12/2016,10:03:29,3/12/2016,10:04:16,AlarmRateRamp|10463,Q5,AlarmRateRamp|10463Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:03:48,3/12/2016,10:04:16,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:04:07,3/12/2016,10:04:16,AlarmRateRamp|10464,Q6,AlarmRateRamp|10464Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:04:18,3/12/2016,10:05:55,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:04:35,3/12/2016,10:05:55,AlarmRateRamp|10465,Q1,AlarmRateRamp|10465Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:04:53,3/12/2016,10:05:55,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:05:11,3/12/2016,10:05:55,AlarmRateRamp|10466,Q2,AlarmRateRamp|10466Q2,TOLERANCE,N/A,Limit Signal 4
