Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Combination,Alarm Type,Alarm Priority,Description
3/12/2016,10:00:12,3/12/2016,10:00:43,ASMON10005,XH03,ASMON10005XH03,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:00:33,3/12/2016,10:00:43,ASMON10009,XQ01,ASMON10009XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:00:45,3/12/2016,10:02:32,BSMON10016,XH52,BSMON10016XH52,ALARM,N/A,Limit Signal 1
3/12/2016,10:01:04,3/12/2016,10:02:32,ASMON10005,XH03,ASMON10005XH03,WARNING,N/A,Limit Signal 2
3/12/2016,10:01:24,3/12/2016,10:02:32,ASMON10005,XH03,ASMON10005XH03,WARNING,N/A,Limit Signal 3
3/12/2016,10:01:44,3/12/2016,10:02:32,ASMON10005,XH03,ASMON10005XH03,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:02:03,3/12/2016,10:02:32,ASMON10005,XH03,ASMON10005XH03,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:02:23,3/12/2016,10:02:32,ASMON10005,XH03,ASMON10005XH03,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:02:34,3/12/2016,10:04:16,ASMON10005,XH03,ASMON10005XH03,ALARM,N/A,Limit Signal 1
3/12/2016,10:02:52,3/12/2016,10:04:16,ASMON10005,XH03,ASMON10005XH03,WARNING,N/A,Limit Signal 2
3/12/2016,10:03:11,3/12/2016,10:04:16,ASMON10006,XH04,ASMON10006XH04,WARNING,N/A,Limit Signal 3
3/12/2016,10:03:29,3/12/2016,10:04:16,ASMON10007,XH05,ASMON10007XH05,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:03:48,3/12/2016,10:04:16,ASMON10021,XH01,ASMON10021XH01,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:04:07,3/12/2016,10:04:16,ASMON10021,XH01,ASMON10021XH01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:04:18,3/12/2016,10:05:55,ASMON10021,XH01,ASMON10021XH01,ALARM,N/A,Limit Signal 1
3/12/2016,10:04:35,3/12/2016,10:05:55,ASMON10021,XH01,ASMON10021XH01,WARNING,N/A,Limit Signal 2
3/12/2016,10:04:53,3/12/2016,10:05:55,ASMON10021,XH01,ASMON10021XH01,WARNING,N/A,Limit Signal 3
3/12/2016,10:05:11,3/12/2016,10:05:55,ASMON10021,XH01,ASMON10021XH01,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:05:29,3/12/2016,10:05:55,ASMON10021,XH01,ASMON10021XH01,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:05:46,3/12/2016,10:05:55,ASMON10021,XH01,ASMON10021XH01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:05:57,3/12/2016,10:07:30,ASMON10021,XH01,ASMON10021XH01,ALARM,N/A,Limit Signal 1
3/12/2016,10:06:13,3/12/2016,10:07:30,ASMON10021,XH01,ASMON10021XH01,WARNING,N/A,Limit Signal 2
3/12/2016,10:06:30,3/12/2016,10:07:30,ASMON10021,XH01,ASMON10021XH01,WARNING,N/A,Limit Signal 3
3/12/2016,10:06:47,3/12/2016,10:07:30,ASMON10021,XH01,ASMON10021XH01,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:07:05,3/12/2016,10:07:30,ASMON10021,XH01,ASMON10021XH01,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:07:21,3/12/2016,10:07:30,ASMON10021,XH01,ASMON10021XH01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:07:32,3/12/2016,10:09:01,ASMON10021,XH01,ASMON10021XH01,ALARM,N/A,Limit Signal 1
3/12/2016,10:07:47,3/12/2016,10:09:01,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:08:04,3/12/2016,10:09:01,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,WARNING,N/A,Limit Signal 3
3/12/2016,10:08:20,3/12/2016,10:09:01,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:08:37,3/12/2016,10:09:01,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:08:53,3/12/2016,10:09:01,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:09:03,3/12/2016,10:10:29,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,ALARM,N/A,Limit Signal 1
3/12/2016,10:09:18,3/12/2016,10:10:29,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 2
3/12/2016,10:09:34,3/12/2016,10:10:29,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,WARNING,N/A,Limit Signal 3
3/12/2016,10:09:50,3/12/2016,10:10:29,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:10:05,3/12/2016,10:10:29,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:10:21,3/12/2016,10:10:29,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:10:31,3/12/2016,10:11:54,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,ALARM,N/A,Limit Signal 1
3/12/2016,10:10:45,3/12/2016,10:11:54,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 2
3/12/2016,10:11:01,3/12/2016,10:11:54,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,WARNING,N/A,Limit Signal 3
3/12/2016,10:11:16,3/12/2016,10:11:54,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:11:31,3/12/2016,10:11:54,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:11:46,3/12/2016,10:11:54,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:11:56,3/12/2016,10:13:17,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,ALARM,N/A,Limit Signal 1
