Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Combination,Alarm Type,Alarm Priority,Description
05-12-16,2:00:07,05-12-16,2:01:57,AlarmRateRamp|13956,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:00:26,05-12-16,2:01:57,AlarmRateRamp|13957,Q2,AlarmRateRamp|10357Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:00:47,05-12-16,2:01:57,AlarmRateRamp|13956,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:01:07,05-12-16,2:01:57,AlarmRateRamp|13956,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:01:27,05-12-16,2:01:57,AlarmRateRamp|13959,Q5,AlarmRateRamp|10359Q5,I&C ALARM,N/A,Limit Signal 5
05-12-16,2:01:47,05-12-16,2:01:57,AlarmRateRamp|13956,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
05-12-16,2:01:59,05-12-16,2:03:43,AlarmRateRamp|13978,Q1,AlarmRateRamp|10378Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:02:17,05-12-16,2:03:43,AlarmRateRamp|13956,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:02:36,05-12-16,2:03:43,AlarmRateRamp|13956,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:02:56,05-12-16,2:03:43,AlarmRateRamp|13958,Q4,AlarmRateRamp|10358Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:03:15,05-12-16,2:03:43,AlarmRateRamp|13956,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
05-12-16,2:03:33,05-12-16,2:03:43,AlarmRateRamp|13956,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
05-12-16,2:03:45,05-12-16,2:05:24,AlarmRateRamp|13979,Q1,AlarmRateRamp|10379Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:04:02,05-12-16,2:05:24,AlarmRateRamp|13956,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:04:21,05-12-16,2:05:24,AlarmRateRamp|13956,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:04:39,05-12-16,2:05:24,AlarmRateRamp|13956,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:04:57,05-12-16,2:05:24,AlarmRateRamp|13980,Q5,AlarmRateRamp|10380Q5,I&C ALARM,N/A,Limit Signal 5
