a,b,score
Flood1,Flood2,0.0056060313164508
Flood1,Flood3,0.0162145779663585
Flood1,Flood4,0.00693714525961741
Flood1,Flood5,0.00295454545454545
Flood1,Flood6,0
Flood1,Flood7,0.00626304801670146
Flood2,Flood3,0.0297723292469352
Flood2,Flood4,0.0732356857523302
Flood2,Flood5,0.018976897689769
Flood2,Flood6,0.0469613259668508
Flood2,Flood7,0.037109375
Flood3,Flood4,0.12775968150561
Flood3,Flood5,0.0514395393474088
Flood3,Flood6,0.0173343605546995
Flood3,Flood7,0.0333238393620051
Flood4,Flood5,0.132049518569464
Flood4,Flood6,0.0677466863033873
Flood4,Flood7,0.0554870530209618
Flood5,Flood6,0.0841121495327103
Flood5,Flood7,0.0136674259681093
Flood6,Flood7,0
