Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,,Alarm Type,Alarm Priority,Description
05-12-16,2:00:07,05-12-16,2:01:57,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:00:26,05-12-16,2:01:57,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:00:47,05-12-16,2:01:57,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:01:07,05-12-16,2:01:57,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:01:27,05-12-16,2:01:57,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
05-12-16,2:01:47,05-12-16,2:01:57,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
05-12-16,2:01:59,05-12-16,2:03:43,AlarmRateRamp|10156,Q1,AlarmRateRamp|10156Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:02:17,05-12-16,2:03:43,AlarmRateRamp|10157,Q2,AlarmRateRamp|10157Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:02:36,05-12-16,2:03:43,AlarmRateRamp|10158,Q3,AlarmRateRamp|10158Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:02:56,05-12-16,2:03:43,AlarmRateRamp|10159,Q4,AlarmRateRamp|10159Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:03:15,05-12-16,2:03:43,AlarmRateRamp|10160,Q5,AlarmRateRamp|10160Q5,I&C ALARM,N/A,Limit Signal 5
05-12-16,2:03:33,05-12-16,2:03:43,AlarmRateRamp|10161,Q6,AlarmRateRamp|10161Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
05-12-16,2:03:45,05-12-16,2:05:24,AlarmRateRamp|10162,Q1,AlarmRateRamp|10162Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:04:02,05-12-16,2:05:24,AlarmRateRamp|10163,Q2,AlarmRateRamp|10163Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:04:21,05-12-16,2:05:24,AlarmRateRamp|10164,Q3,AlarmRateRamp|10164Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:04:39,05-12-16,2:05:24,AlarmRateRamp|10165,Q4,AlarmRateRamp|10165Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:04:57,05-12-16,2:05:24,AlarmRateRamp|10166,Q5,AlarmRateRamp|10166Q5,I&C ALARM,N/A,Limit Signal 5
05-12-16,2:05:15,05-12-16,2:05:24,AlarmRateRamp|10167,Q6,AlarmRateRamp|10167Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
05-12-16,2:05:26,05-12-16,2:07:01,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:05:42,05-12-16,2:07:01,AlarmRateRamp|10357,Q2,AlarmRateRamp|10357Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:06:00,05-12-16,2:07:01,AlarmRateRamp|10358,Q3,AlarmRateRamp|10358Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:06:17,05-12-16,2:07:01,AlarmRateRamp|10359,Q4,AlarmRateRamp|10359Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:06:35,05-12-16,2:07:01,AlarmRateRamp|10360,Q5,AlarmRateRamp|10360Q5,I&C ALARM,N/A,Limit Signal 5
05-12-16,2:06:52,05-12-16,2:07:01,AlarmRateRamp|10361,Q6,AlarmRateRamp|10361Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
05-12-16,2:07:03,05-12-16,2:08:34,AlarmRateRamp|10362,Q1,AlarmRateRamp|10362Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:07:19,05-12-16,2:08:34,AlarmRateRamp|10363,Q2,AlarmRateRamp|10363Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:07:35,05-12-16,2:08:34,AlarmRateRamp|10364,Q3,AlarmRateRamp|10364Q3,WARNING,N/A,Limit Signal 3
05-12-16,2:07:52,05-12-16,2:08:34,AlarmRateRamp|10365,Q4,AlarmRateRamp|10365Q4,TOLERANCE,N/A,Limit Signal 4
05-12-16,2:08:09,05-12-16,2:08:34,AlarmRateRamp|10366,Q5,AlarmRateRamp|10366Q5,I&C ALARM,N/A,Limit Signal 5
05-12-16,2:08:25,05-12-16,2:08:34,AlarmRateRamp|10367,Q6,AlarmRateRamp|10367Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
05-12-16,2:08:36,05-12-16,2:10:03,AlarmRateRamp|10368,Q1,AlarmRateRamp|10368Q1,ALARM,N/A,Limit Signal 1
05-12-16,2:08:51,05-12-16,2:10:03,AlarmRateRamp|10369,Q2,AlarmRateRamp|10369Q2,WARNING,N/A,Limit Signal 2
05-12-16,2:09:07,05-12-16,2:10:03,AlarmRateRamp|10370,Q3,AlarmRateRamp|10370Q3,WARNING,N/A,Limit Signal 3
