Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm ID,Combination,Alarm Type,Alarm Priority,Description
5/12/2016,2:00:07,5/12/2016,2:01:57,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,ALARM,N/A,Limit Signal 1
5/12/2016,2:00:26,5/12/2016,2:01:57,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,WARNING,N/A,Limit Signal 2
5/12/2016,2:00:47,5/12/2016,2:01:57,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,WARNING,N/A,Limit Signal 3
5/12/2016,2:01:07,5/12/2016,2:01:57,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,TOLERANCE,N/A,Limit Signal 4
5/12/2016,2:01:27,5/12/2016,2:01:57,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,I&C ALARM,N/A,Limit Signal 5
5/12/2016,2:01:47,5/12/2016,2:01:57,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
5/12/2016,2:01:59,5/12/2016,2:03:43,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,ALARM,N/A,Limit Signal 1
5/12/2016,2:02:17,5/12/2016,2:03:43,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,WARNING,N/A,Limit Signal 2
5/12/2016,2:02:36,5/12/2016,2:03:43,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,WARNING,N/A,Limit Signal 3
5/12/2016,2:02:56,5/12/2016,2:03:43,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,TOLERANCE,N/A,Limit Signal 4
5/12/2016,2:03:15,5/12/2016,2:03:43,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,I&C ALARM,N/A,Limit Signal 5
5/12/2016,2:03:33,5/12/2016,2:03:43,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
5/12/2016,2:03:45,5/12/2016,2:05:24,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,ALARM,N/A,Limit Signal 1
5/12/2016,2:04:02,5/12/2016,2:05:24,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,WARNING,N/A,Limit Signal 2
5/12/2016,2:04:21,5/12/2016,2:05:24,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,WARNING,N/A,Limit Signal 3
5/12/2016,2:04:39,5/12/2016,2:05:24,AlarmRateRamp|10358,XQ01,AlarmRateRamp|10358XQ01,TOLERANCE,N/A,Limit Signal 4
5/12/2016,2:04:57,5/12/2016,2:05:24,AlarmRateRamp|10359,XQ01,AlarmRateRamp|10359XQ01,I&C ALARM,N/A,Limit Signal 5
5/12/2016,2:05:15,5/12/2016,2:05:24,AlarmRateRamp|10359,XQ01,AlarmRateRamp|10359XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
5/12/2016,2:05:26,5/12/2016,2:07:01,AlarmRateRamp|10359,XQ01,AlarmRateRamp|10359XQ01,ALARM,N/A,Limit Signal 1
5/12/2016,2:05:42,5/12/2016,2:07:01,AlarmRateRamp|10359,XQ01,AlarmRateRamp|10359XQ01,WARNING,N/A,Limit Signal 2
5/12/2016,2:06:00,5/12/2016,2:07:01,AlarmRateRamp|10359,XQ01,AlarmRateRamp|10359XQ01,WARNING,N/A,Limit Signal 3
5/12/2016,2:06:17,5/12/2016,2:07:01,AlarmRateRamp|10359,XQ01,AlarmRateRamp|10359XQ01,TOLERANCE,N/A,Limit Signal 4
5/12/2016,2:06:35,5/12/2016,2:07:01,AlarmRateRamp|10365,XQ01,AlarmRateRamp|10365XQ01,I&C ALARM,N/A,Limit Signal 5
5/12/2016,2:06:52,5/12/2016,2:07:01,AlarmRateRamp|10366,XQ01,AlarmRateRamp|10366XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
5/12/2016,2:07:03,5/12/2016,2:08:34,AlarmRateRamp|10367,XQ01,AlarmRateRamp|10367XQ01,ALARM,N/A,Limit Signal 1
5/12/2016,2:07:19,5/12/2016,2:08:34,AlarmRateRamp|10368,XQ01,AlarmRateRamp|10368XQ01,WARNING,N/A,Limit Signal 2
5/12/2016,2:07:35,5/12/2016,2:08:34,AlarmRateRamp|10369,XQ01,AlarmRateRamp|10369XQ01,WARNING,N/A,Limit Signal 3
5/12/2016,2:07:52,5/12/2016,2:08:34,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,TOLERANCE,N/A,Limit Signal 4
5/12/2016,2:08:09,5/12/2016,2:08:34,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,I&C ALARM,N/A,Limit Signal 5
5/12/2016,2:08:25,5/12/2016,2:08:34,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
5/12/2016,2:08:36,5/12/2016,2:10:03,AlarmRateRamp|10357,XQ01,AlarmRateRamp|10357XQ01,ALARM,N/A,Limit Signal 1
