Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,,Alarm Type,Alarm Priority,Description
07-12-16,19:00:12,07-12-16,19:01:04,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:00:33,07-12-16,19:01:04,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:00:54,07-12-16,19:01:04,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:01:06,07-12-16,19:02:53,BSMON10027,XQ01,BSMON10027XQ01,ALARM,N/A,Limit Signal 1
07-12-16,19:01:25,07-12-16,19:02:53,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:01:45,07-12-16,19:02:53,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:02:05,07-12-16,19:02:53,BSMON10001,XA00_HW,BSMON10001XA00_HW,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:02:24,07-12-16,19:02:53,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:02:44,07-12-16,19:02:53,BSMON10027,XQ01,BSMON10027XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:02:55,07-12-16,19:04:37,AlarmRateRamp|10430,Q1,AlarmRateRamp|10430Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:03:13,07-12-16,19:04:37,BSMON10001,XA00_HW,BSMON10001XA00_HW,WARNING,N/A,Limit Signal 2
07-12-16,19:03:32,07-12-16,19:04:37,AlarmRateRamp|10431,Q2,AlarmRateRamp|10431Q2,WARNING,N/A,Limit Signal 3
07-12-16,19:03:50,07-12-16,19:04:37,BSMON10029,XA01,BSMON10029XA01,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:04:09,07-12-16,19:04:37,AlarmRateRamp|10432,Q3,AlarmRateRamp|10432Q3,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:04:28,07-12-16,19:04:37,BSMON10030,XA02,BSMON10030XA02,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:04:39,07-12-16,19:06:16,AlarmRateRamp|10433,Q4,AlarmRateRamp|10433Q4,ALARM,N/A,Limit Signal 1
07-12-16,19:04:56,07-12-16,19:06:16,BSMON10001,XA00_HW,BSMON10001XA00_HW,WARNING,N/A,Limit Signal 2
07-12-16,19:05:14,07-12-16,19:06:16,AlarmRateRamp|10434,Q5,AlarmRateRamp|10434Q5,WARNING,N/A,Limit Signal 3
07-12-16,19:05:32,07-12-16,19:06:16,BSMON10032,XH03,BSMON10032XH03,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:05:50,07-12-16,19:06:16,AlarmRateRamp|10435,Q6,AlarmRateRamp|10435Q6,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:06:07,07-12-16,19:06:16,ASMON10020,XA01,ASMON10020XA01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:06:18,07-12-16,19:07:51,AlarmRateRamp|10436,Q1,AlarmRateRamp|10436Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:06:34,07-12-16,19:07:51,ASMON10021,XA02,ASMON10021XA02,WARNING,N/A,Limit Signal 2
07-12-16,19:06:51,07-12-16,19:07:51,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:07:08,07-12-16,19:07:51,BSMON10477,XM492,BSMON10477XM492,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:07:26,07-12-16,19:07:51,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:07:42,07-12-16,19:07:51,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:07:53,07-12-16,19:09:22,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:08:08,07-12-16,19:09:22,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:08:25,07-12-16,19:09:22,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:08:41,07-12-16,19:09:22,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:08:58,07-12-16,19:09:22,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:09:14,07-12-16,19:09:22,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:09:24,07-12-16,19:10:50,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:09:39,07-12-16,19:10:50,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:09:55,07-12-16,19:10:50,BSMON10477,XM492,BSMON10477XM492,WARNING,N/A,Limit Signal 3
07-12-16,19:10:11,07-12-16,19:10:50,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:10:26,07-12-16,19:10:50,AlarmRateRamp|12305,Q6,AlarmRateRamp|12305Q6,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:10:42,07-12-16,19:10:50,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:10:52,07-12-16,19:12:15,AlarmRateRamp|10156,Q1,AlarmRateRamp|10156Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:11:06,07-12-16,19:12:15,AlarmRateRamp|10157,Q2,AlarmRateRamp|10157Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:11:22,07-12-16,19:12:15,AlarmRateRamp|10157,Q2,AlarmRateRamp|10157Q2,WARNING,N/A,Limit Signal 3
07-12-16,19:11:37,07-12-16,19:12:15,AlarmRateRamp|10159,Q4,AlarmRateRamp|10159Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:11:52,07-12-16,19:12:15,AlarmRateRamp|10160,Q5,AlarmRateRamp|10160Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:12:07,07-12-16,19:12:15,AlarmRateRamp|10161,Q6,AlarmRateRamp|10161Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:12:17,07-12-16,19:13:38,AlarmRateRamp|12309,Q4,AlarmRateRamp|12309Q4,ALARM,N/A,Limit Signal 1
07-12-16,19:12:31,07-12-16,19:13:38,AlarmRateRamp|10163,Q2,AlarmRateRamp|10163Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:12:46,07-12-16,19:13:38,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:13:00,07-12-16,19:13:38,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:13:15,07-12-16,19:13:38,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:13:30,07-12-16,19:13:38,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:13:40,07-12-16,19:14:58,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:13:53,07-12-16,19:14:58,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:14:08,07-12-16,19:14:58,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:14:22,07-12-16,19:14:58,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:14:36,07-12-16,19:14:58,AlarmRateRamp|20845,Q5,AlarmRateRamp|20845Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:14:51,07-12-16,19:14:58,AlarmRateRamp|20846,Q6,AlarmRateRamp|20846Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:15:00,07-12-16,19:16:16,AlarmRateRamp|20847,Q1,AlarmRateRamp|20847Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:15:13,07-12-16,19:16:16,AlarmRateRamp|20848,Q2,AlarmRateRamp|20848Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:15:27,07-12-16,19:16:16,AlarmRateRamp|20849,Q3,AlarmRateRamp|20849Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:15:41,07-12-16,19:16:16,AlarmRateRamp|20850,Q4,AlarmRateRamp|20850Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:15:55,07-12-16,19:16:16,AlarmRateRamp|20851,Q5,AlarmRateRamp|20851Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:16:09,07-12-16,19:16:16,AlarmRateRamp|20852,Q6,AlarmRateRamp|20852Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:16:18,07-12-16,19:17:32,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:16:30,07-12-16,19:17:32,AlarmRateRamp|12301,Q2,AlarmRateRamp|12301Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:16:44,07-12-16,19:17:32,AlarmRateRamp|12302,Q3,AlarmRateRamp|12302Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:16:58,07-12-16,19:17:32,AlarmRateRamp|12303,Q4,AlarmRateRamp|12303Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:17:11,07-12-16,19:17:32,AlarmRateRamp|12304,Q5,AlarmRateRamp|12304Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:17:25,07-12-16,19:17:32,AlarmRateRamp|10162,Q2,AlarmRateRamp|10162Q2,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:17:34,07-12-16,19:18:46,AlarmRateRamp|12306,Q1,AlarmRateRamp|12306Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:17:46,07-12-16,19:18:46,AlarmRateRamp|12307,Q2,AlarmRateRamp|12307Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:17:59,07-12-16,19:18:46,AlarmRateRamp|12308,Q3,AlarmRateRamp|12308Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:18:13,07-12-16,19:18:46,AlarmRateRamp|13308,Q3,AlarmRateRamp|13308Q3,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:18:26,07-12-16,19:18:46,AlarmRateRamp|12310,Q5,AlarmRateRamp|12310Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:18:39,07-12-16,19:18:46,AlarmRateRamp|12311,Q6,AlarmRateRamp|12311Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:18:48,07-12-16,19:19:58,AlarmRateRamp|12312,Q1,AlarmRateRamp|12312Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:19:00,07-12-16,19:19:58,AlarmRateRamp|12313,Q2,AlarmRateRamp|12313Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:19:13,07-12-16,19:19:58,AlarmRateRamp|12314,Q3,AlarmRateRamp|12314Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:19:26,07-12-16,19:19:58,AlarmRateRamp|12315,Q4,AlarmRateRamp|12315Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:19:39,07-12-16,19:19:58,AlarmRateRamp|12316,Q5,AlarmRateRamp|12316Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:19:52,07-12-16,19:19:58,AlarmRateRamp|12317,Q6,AlarmRateRamp|12317Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:20:00,07-12-16,19:21:09,AlarmRateRamp|12318,Q1,AlarmRateRamp|12318Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:20:11,07-12-16,19:21:09,AlarmRateRamp|12319,Q2,AlarmRateRamp|12319Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:20:24,07-12-16,19:21:09,AlarmRateRamp|12320,Q3,AlarmRateRamp|12320Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:20:37,07-12-16,19:21:09,AlarmRateRamp|12321,Q4,AlarmRateRamp|12321Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:20:49,07-12-16,19:21:09,AlarmRateRamp|12322,Q5,AlarmRateRamp|12322Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:21:02,07-12-16,19:21:09,AlarmRateRamp|12323,Q6,AlarmRateRamp|12323Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:21:11,07-12-16,19:22:18,AlarmRateRamp|12324,Q1,AlarmRateRamp|12324Q1,ALARM,N/A,Limit Signal 1
07-12-16,19:21:22,07-12-16,19:22:18,AlarmRateRamp|12325,Q2,AlarmRateRamp|12325Q2,WARNING,N/A,Limit Signal 2
07-12-16,19:21:35,07-12-16,19:22:18,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,WARNING,N/A,Limit Signal 3
07-12-16,19:21:47,07-12-16,19:22:18,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:21:59,07-12-16,19:22:18,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,I&C ALARM,N/A,Limit Signal 5
07-12-16,19:22:12,07-12-16,19:22:18,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
07-12-16,19:22:20,07-12-16,19:23:26,AlarmRateRamp|10413,Q6,AlarmRateRamp|10413Q6,ALARM,N/A,Limit Signal 1
07-12-16,19:22:31,07-12-16,19:23:26,AlarmRateRamp|10414,Q1,AlarmRateRamp|10414Q1,WARNING,N/A,Limit Signal 2
07-12-16,19:22:43,07-12-16,19:23:26,AlarmRateRamp|10415,Q2,AlarmRateRamp|10415Q2,WARNING,N/A,Limit Signal 3
07-12-16,19:22:55,07-12-16,19:23:26,AlarmRateRamp|10416,Q3,AlarmRateRamp|10416Q3,TOLERANCE,N/A,Limit Signal 4
07-12-16,19:23:07,07-12-16,19:23:26,AlarmRateRamp|10417,Q4,AlarmRateRamp|10417Q4,I&C ALARM,N/A,Limit Signal 5
